ID,C1,C2,C3,C4
Belgium,1360.97,580.99,1496.33,3322.38
Bulgaria,645.52,188.92,1229.65,2038.2
Czechia,855.2,421.06,2850.72,4019.76
Denmark,1835.87,285.14,3448.62,5502.1
Germany,17715.3,3967.42,14757.57,35030.73
Estonia,152.71,3.21,785.82,938.53
Greece,1294.32,200.69,1491.85,2950.42
Spain,8829.54,1679.58,5109.36,15308.05
France,8854.71,3942.3,13070.14,25006.65
Croatia,748.14,24.83,1211.84,1960.48
Ireland,776.1,295.5,298.81,1235.55
Italy,9728.58,1992.34,11210.99,21999.86
Cyprus,38.34,17.14,127.09,174
Latvia,348.97,26.36,1286.82,1645.12
Lithuania,192.84,77.68,1185.58,1450.22
Luxemburg,49.01,127.92,86.4,245.67
Hungary,296,339.89,2123.51,2583.51
Malta,14.79,14,16.9,38.94
Netherlands,1433.41,627.48,1530.68,3267.09
Austria,4556.79,845.53,4783.7,9786.76
Poland,1938.85,803.79,5579.89,8123.63
Portugal,2562.3,436.33,2520.47,5324.87
Romania,2182.02,400.62,3557.4,6036.62
Slovenia,433.24,49.61,627.55,1084.9
Slovak Republic,559.11,181.61,599.44,1304.77
Finland,2663.42,777.28,7767.29,10820.42
Sweden,8226.16,1947.44,9813.1,18953.93
United Kingdom,8183.68,1957.14,3779.45,12911.62
Iceland,1544.65,30.49,794.22,2357.37
Norway,12041.97,807.8,1515.98,14441.74
Weights,0.25,0.25,0.25,0.25
Type,1,1,1,1
