Country,TOPSIS equal preference value,TOPSIS equal rank,TOPSIS entropy preference value,TOPSIS entropy rank,COMET preference value,COMET rank
A1,0.0992,16,0.1039,16,0.1704,15
A2,0.0547,20,0.0498,20,0.1019,21
A3,0.1257,14,0.1159,15,0.2079,14
A4,0.1297,13,0.117,14,0.2480,13
A5,1,1,1,1,1.0000,1
A6,0.0277,27,0.023,27,0.0394,27
A7,0.0754,18,0.0681,18,0.1506,17
A8,0.3787,6,0.3626,6,0.6211,6
A9,0.7298,2,0.7391,2,0.7777,2
A10,0.054,21,0.0483,21,0.1029,20
A11,0.0369,25,0.0405,23,0.0626,24
A12,0.6098,3,0.5831,3,0.7607,3
A13,0.004,29,0.0037,29,0.0059,29
A14,0.0506,22,0.0427,22,0.0810,22
A15,0.0408,23,0.0346,25,0.0589,26
A16,0.0157,28,0.0188,28,0.0100,28
A17,0.0879,17,0.0794,17,0.1288,19
A18,0.0008,30,0.001,30,0.0000,30
A19,0.1114,15,0.1226,13,0.1654,16
A20,0.2879,8,0.2816,8,0.4756,8
A21,0.2436,10,0.2291,10,0.3673,10
A22,0.1445,12,0.1336,12,0.3018,12
A23,0.1719,11,0.153,11,0.3281,11
A24,0.03,26,0.0274,26,0.0590,25
A25,0.0388,24,0.0398,24,0.0729,23
A26,0.3254,7,0.2988,7,0.4436,9
A27,0.5228,4,0.4911,4,0.6843,4
A28,0.2704,9,0.2705,9,0.4830,7
A29,0.0658,19,0.0648,19,0.1409,18
A30,0.4003,5,0.403,5,0.6587,5
